protein,condition,sample,cell,edge_margin_um,min_track_length,n_tracks_raw,n_edge_removed,n_tracks_after_edge,n_tracks_used,median_D,mean_D,median_log10_D,median_track_length
SNAP25,500uM_H2O2_30min,1,1,0.3,5,2601,451,2150,2049,0.4428971706035966,0.6916425158123825,-0.3536970941455192,16.0
SNAP25,Ox_500uM_H2O2,1,1,0.3,5,2801,403,2398,2299,0.46710900587493404,0.7424762246074739,-0.3305817594215209,16.0
SNAP25,control,1,1,0.3,5,2334,368,1966,1870,0.4640337264467897,0.6714618078336546,-0.3334509359239202,17.0
SNAP25,500uM_H2O2_30min,1,2,0.3,5,1295,763,532,483,0.6006535445350465,1.2658617499133331,-0.22137595575409266,14.0
SNAP25,Ox_500uM_H2O2,1,2,0.3,5,1023,267,756,720,0.5183375686764307,0.8495549146901099,-0.28538731690832975,17.0
SNAP25,control,1,2,0.3,5,1704,358,1346,1285,0.5112095307444723,0.721828672391606,-0.29140105799686217,17.0
SNAP25,500uM_H2O2_30min,1,3,0.3,5,1354,165,1189,1116,0.3936921279657718,0.5903044531909608,-0.4048434311073313,16.0
SNAP25,Ox_500uM_H2O2,1,3,0.3,5,1487,250,1237,1179,0.4100893826746029,0.5650713694254792,-0.38712147456894697,18.0
SNAP25,control,1,3,0.3,5,1821,332,1489,1408,0.4368642968633711,0.651769558199679,-0.35965347156992145,17.0
SNAP25,500uM_H2O2_30min,2,1,0.3,5,2890,922,1968,1859,0.5508332606705812,0.9520800439808327,-0.2589798438516082,15.0
SNAP25,Ox_500uM_H2O2,2,1,0.3,5,4794,1072,3722,3572,0.5681247006437928,0.8647127380133084,-0.24555633301118818,15.0
SNAP25,control,2,1,0.3,5,4368,914,3454,3314,0.521809441709385,0.7795415614083762,-0.2824880806567913,16.0
SNAP25,500uM_H2O2_30min,2,2,0.3,5,2378,889,1489,1405,0.6602181529262686,1.3330482423171182,-0.18031253876468165,14.0
SNAP25,Ox_500uM_H2O2,2,2,0.3,5,2720,940,1780,1715,0.6860683058092678,1.2228508556443816,-0.16363264324475846,16.0
SNAP25,control,2,2,0.3,5,2181,711,1470,1410,0.5879943454254963,1.0076039529716025,-0.23062688524283811,16.0
SNAP25,500uM_H2O2_30min,2,3,0.3,5,2121,495,1626,1550,0.5771669446720123,1.0357222792379228,-0.2387004314695857,15.0
SNAP25,Ox_500uM_H2O2,2,3,0.3,5,2739,674,2065,1990,0.521283730827802,0.7997936352940401,-0.28292594680713357,17.0
SNAP25,control,2,3,0.3,5,2811,532,2279,2185,0.5385018929748937,0.8831250041134252,-0.2688127657047076,16.0
Syx,500uM_H2O2_30min,1,1,0.3,5,705,95,610,509,0.28715631182026863,0.5717272183664056,-0.5418816332968424,14.0
Syx,Ox_500uM_H2O2,1,1,0.3,5,493,275,218,186,0.23967897921047776,0.42957023415419154,-0.6203738664171323,13.0
Syx,control,1,1,0.3,5,893,514,379,329,0.2817123006083075,0.5719244869421514,-0.5501941896855699,14.0
Syx,500uM_H2O2_30min,1,2,0.3,5,2187,754,1433,1237,0.3562918460812963,0.7507202176242395,-0.44819411658364533,13.0
Syx,Ox_500uM_H2O2,1,2,0.3,5,2271,968,1303,1131,0.3571824847639749,0.7667907078952122,-0.44710984585532576,14.0
Syx,control,1,2,0.3,5,3537,817,2720,2398,0.4802707667543173,0.8638739161808309,-0.3185140521100406,15.0
Syx,500uM_H2O2_30min,1,3,0.3,5,3276,516,2760,2357,0.3250636761910505,0.6401067827870831,-0.4880315574529558,14.0
Syx,Ox_500uM_H2O2,1,3,0.3,5,923,243,680,584,0.3015894041968784,0.7114006485794645,-0.5205839823474696,14.0
Syx,control,1,3,0.3,5,2602,610,1992,1745,0.357171364175217,0.7679877486089844,-0.4471233674744523,15.0
Syx,500uM_H2O2_30min,2,1,0.3,5,564,215,349,310,0.10856809805710119,0.1496080904377778,-0.9643011706801928,16.0
Syx,Ox_500uM_H2O2,2,1,0.3,5,880,128,752,672,0.13594004459077763,0.18482672434727632,-0.8666530731061234,17.5
Syx,control,2,1,0.3,5,2209,463,1746,1588,0.13751824572363364,0.19972646736534672,-0.8616396764493384,15.0
Syx,500uM_H2O2_30min,2,2,0.3,5,905,602,303,267,0.16700810827159351,0.25014350859768575,-0.7772624432708136,15.0
Syx,Ox_500uM_H2O2,2,2,0.3,5,683,221,462,386,0.12474219997527992,0.20533321370953347,-0.9039888926075561,17.0
Syx,control,2,2,0.3,5,676,33,643,566,0.1754362392214871,0.2637641899119296,-0.7558808457150512,14.0
Syx,500uM_H2O2_30min,2,3,0.3,5,1318,422,896,799,0.21994393379051194,0.4153114129407075,-0.6576880116713755,15.0
Syx,Ox_500uM_H2O2,2,3,0.3,5,919,137,782,664,0.2060717683884394,0.31778292745835435,-0.6859817940162605,17.0
Syx,control,2,3,0.3,5,1639,295,1344,1244,0.25600639210998716,0.36958023035412013,-0.5917493088092742,15.0
Syx,500uM_H2O2_30min,3,1,0.3,5,2578,471,2107,1827,0.24525842309832607,0.43769293519147023,-0.6103760683830546,15.0
Syx,Ox_500uM_H2O2,3,1,0.3,5,2305,142,2163,1938,0.2539906156647762,0.3905459069168895,-0.5951824049180877,16.0
Syx,control,3,1,0.3,5,1274,483,791,686,0.2149212177636715,0.37827690749612697,-0.6677207127402629,15.0
Syx,500uM_H2O2_30min,3,2,0.3,5,956,516,440,409,0.20663623279587529,0.33242433123943843,-0.6847935244251244,16.0
Syx,Ox_500uM_H2O2,3,2,0.3,5,697,192,505,443,0.1917503226650946,0.2938868835214958,-0.7172638965755802,15.0
Syx,control,3,2,0.3,5,2261,478,1783,1594,0.19474633194315266,0.31770358557427464,-0.7105307464139755,16.0
Syx,500uM_H2O2_30min,3,3,0.3,5,1735,415,1320,1160,0.22844325655071934,0.37577120015055365,-0.6412233890892574,16.0
Syx,Ox_500uM_H2O2,3,3,0.3,5,1018,570,448,397,0.21743526524495224,0.41981372294358543,-0.6626700174749844,16.0
Syx,control,3,3,0.3,5,1238,328,910,812,0.2457342054218139,0.4153051106728818,-0.6095344277555745,16.0
SNAP25,500uM_H2O2_30min,1,1,0.3,10,2601,451,2150,2049,0.4428971706035966,0.6916425158123825,-0.3536970941455192,16.0
SNAP25,Ox_500uM_H2O2,1,1,0.3,10,2801,403,2398,2299,0.46710900587493404,0.7424762246074739,-0.3305817594215209,16.0
SNAP25,control,1,1,0.3,10,2334,368,1966,1870,0.4640337264467897,0.6714618078336546,-0.3334509359239202,17.0
SNAP25,500uM_H2O2_30min,1,2,0.3,10,1295,763,532,483,0.6006535445350465,1.2658617499133331,-0.22137595575409266,14.0
SNAP25,Ox_500uM_H2O2,1,2,0.3,10,1023,267,756,720,0.5183375686764307,0.8495549146901099,-0.28538731690832975,17.0
SNAP25,control,1,2,0.3,10,1704,358,1346,1285,0.5112095307444723,0.721828672391606,-0.29140105799686217,17.0
SNAP25,500uM_H2O2_30min,1,3,0.3,10,1354,165,1189,1116,0.3936921279657718,0.5903044531909608,-0.4048434311073313,16.0
SNAP25,Ox_500uM_H2O2,1,3,0.3,10,1487,250,1237,1179,0.4100893826746029,0.5650713694254792,-0.38712147456894697,18.0
SNAP25,control,1,3,0.3,10,1821,332,1489,1408,0.4368642968633711,0.651769558199679,-0.35965347156992145,17.0
SNAP25,500uM_H2O2_30min,2,1,0.3,10,2890,922,1968,1859,0.5508332606705812,0.9520800439808327,-0.2589798438516082,15.0
SNAP25,Ox_500uM_H2O2,2,1,0.3,10,4794,1072,3722,3572,0.5681247006437928,0.8647127380133084,-0.24555633301118818,15.0
SNAP25,control,2,1,0.3,10,4368,914,3454,3314,0.521809441709385,0.7795415614083762,-0.2824880806567913,16.0
SNAP25,500uM_H2O2_30min,2,2,0.3,10,2378,889,1489,1405,0.6602181529262686,1.3330482423171182,-0.18031253876468165,14.0
SNAP25,Ox_500uM_H2O2,2,2,0.3,10,2720,940,1780,1715,0.6860683058092678,1.2228508556443816,-0.16363264324475846,16.0
SNAP25,control,2,2,0.3,10,2181,711,1470,1410,0.5879943454254963,1.0076039529716025,-0.23062688524283811,16.0
SNAP25,500uM_H2O2_30min,2,3,0.3,10,2121,495,1626,1550,0.5771669446720123,1.0357222792379228,-0.2387004314695857,15.0
SNAP25,Ox_500uM_H2O2,2,3,0.3,10,2739,674,2065,1990,0.521283730827802,0.7997936352940401,-0.28292594680713357,17.0
SNAP25,control,2,3,0.3,10,2811,532,2279,2185,0.5385018929748937,0.8831250041134252,-0.2688127657047076,16.0
Syx,500uM_H2O2_30min,1,1,0.3,10,705,95,610,509,0.28715631182026863,0.5717272183664056,-0.5418816332968424,14.0
Syx,Ox_500uM_H2O2,1,1,0.3,10,493,275,218,186,0.23967897921047776,0.42957023415419154,-0.6203738664171323,13.0
Syx,control,1,1,0.3,10,893,514,379,329,0.2817123006083075,0.5719244869421514,-0.5501941896855699,14.0
Syx,500uM_H2O2_30min,1,2,0.3,10,2187,754,1433,1237,0.3562918460812963,0.7507202176242395,-0.44819411658364533,13.0
Syx,Ox_500uM_H2O2,1,2,0.3,10,2271,968,1303,1131,0.3571824847639749,0.7667907078952122,-0.44710984585532576,14.0
Syx,control,1,2,0.3,10,3537,817,2720,2398,0.4802707667543173,0.8638739161808309,-0.3185140521100406,15.0
Syx,500uM_H2O2_30min,1,3,0.3,10,3276,516,2760,2357,0.3250636761910505,0.6401067827870831,-0.4880315574529558,14.0
Syx,Ox_500uM_H2O2,1,3,0.3,10,923,243,680,584,0.3015894041968784,0.7114006485794645,-0.5205839823474696,14.0
Syx,control,1,3,0.3,10,2602,610,1992,1745,0.357171364175217,0.7679877486089844,-0.4471233674744523,15.0
Syx,500uM_H2O2_30min,2,1,0.3,10,564,215,349,310,0.10856809805710119,0.1496080904377778,-0.9643011706801928,16.0
Syx,Ox_500uM_H2O2,2,1,0.3,10,880,128,752,672,0.13594004459077763,0.18482672434727632,-0.8666530731061234,17.5
Syx,control,2,1,0.3,10,2209,463,1746,1588,0.13751824572363364,0.19972646736534672,-0.8616396764493384,15.0
Syx,500uM_H2O2_30min,2,2,0.3,10,905,602,303,267,0.16700810827159351,0.25014350859768575,-0.7772624432708136,15.0
Syx,Ox_500uM_H2O2,2,2,0.3,10,683,221,462,386,0.12474219997527992,0.20533321370953347,-0.9039888926075561,17.0
Syx,control,2,2,0.3,10,676,33,643,566,0.1754362392214871,0.2637641899119296,-0.7558808457150512,14.0
Syx,500uM_H2O2_30min,2,3,0.3,10,1318,422,896,799,0.21994393379051194,0.4153114129407075,-0.6576880116713755,15.0
Syx,Ox_500uM_H2O2,2,3,0.3,10,919,137,782,664,0.2060717683884394,0.31778292745835435,-0.6859817940162605,17.0
Syx,control,2,3,0.3,10,1639,295,1344,1244,0.25600639210998716,0.36958023035412013,-0.5917493088092742,15.0
Syx,500uM_H2O2_30min,3,1,0.3,10,2578,471,2107,1827,0.24525842309832607,0.43769293519147023,-0.6103760683830546,15.0
Syx,Ox_500uM_H2O2,3,1,0.3,10,2305,142,2163,1938,0.2539906156647762,0.3905459069168895,-0.5951824049180877,16.0
Syx,control,3,1,0.3,10,1274,483,791,686,0.2149212177636715,0.37827690749612697,-0.6677207127402629,15.0
Syx,500uM_H2O2_30min,3,2,0.3,10,956,516,440,409,0.20663623279587529,0.33242433123943843,-0.6847935244251244,16.0
Syx,Ox_500uM_H2O2,3,2,0.3,10,697,192,505,443,0.1917503226650946,0.2938868835214958,-0.7172638965755802,15.0
Syx,control,3,2,0.3,10,2261,478,1783,1594,0.19474633194315266,0.31770358557427464,-0.7105307464139755,16.0
Syx,500uM_H2O2_30min,3,3,0.3,10,1735,415,1320,1160,0.22844325655071934,0.37577120015055365,-0.6412233890892574,16.0
Syx,Ox_500uM_H2O2,3,3,0.3,10,1018,570,448,397,0.21743526524495224,0.41981372294358543,-0.6626700174749844,16.0
Syx,control,3,3,0.3,10,1238,328,910,812,0.2457342054218139,0.4153051106728818,-0.6095344277555745,16.0
SNAP25,500uM_H2O2_30min,1,1,0.3,15,2601,451,2150,1152,0.4125438912997613,0.5433232837068702,-0.38452986540581663,21.0
SNAP25,Ox_500uM_H2O2,1,1,0.3,15,2801,403,2398,1329,0.45191589299810553,0.5746892021813974,-0.34494238511268505,22.0
SNAP25,control,1,1,0.3,15,2334,368,1966,1127,0.45690046328486383,0.5374887645256468,-0.3401784015810691,22.0
SNAP25,500uM_H2O2_30min,1,2,0.3,15,1295,763,532,226,0.4636276633140487,0.6819678123685229,-0.33383534387052705,22.0
SNAP25,Ox_500uM_H2O2,1,2,0.3,15,1023,267,756,447,0.4729507513236085,0.5963587127290013,-0.3251840802811205,23.0
SNAP25,control,1,2,0.3,15,1704,358,1346,795,0.4733370673808891,0.6018972816167106,-0.32482948427353814,23.0
SNAP25,500uM_H2O2_30min,1,3,0.3,15,1354,165,1189,670,0.3733347104755436,0.4746374200139181,-0.4279023118536086,22.0
SNAP25,Ox_500uM_H2O2,1,3,0.3,15,1487,250,1237,761,0.4076665485307688,0.4887253337081841,-0.38969492353564844,23.0
SNAP25,control,1,3,0.3,15,1821,332,1489,860,0.4152513260220221,0.5222752257768583,-0.38168907497082855,22.0
SNAP25,500uM_H2O2_30min,2,1,0.3,15,2890,922,1968,980,0.4748199361687191,0.6099298706187972,-0.32347108753961384,22.0
SNAP25,Ox_500uM_H2O2,2,1,0.3,15,4794,1072,3722,1923,0.5257200351311488,0.6743836881070883,-0.2792454717525465,21.0
SNAP25,control,2,1,0.3,15,4368,914,3454,1922,0.49214601649782164,0.6261512820297402,-0.3079060318165212,22.0
SNAP25,500uM_H2O2_30min,2,2,0.3,15,2378,889,1489,699,0.5138976970858712,0.7788259937763207,-0.2891233285011267,22.0
SNAP25,Ox_500uM_H2O2,2,2,0.3,15,2720,940,1780,952,0.5811737786286758,0.778385396359975,-0.2356940022893699,22.0
SNAP25,control,2,2,0.3,15,2181,711,1470,814,0.5515939326907,0.7032381569832349,-0.25838052720386917,23.0
SNAP25,500uM_H2O2_30min,2,3,0.3,15,2121,495,1626,822,0.4607940470933526,0.6706073285040377,-0.33649319761745,22.0
SNAP25,Ox_500uM_H2O2,2,3,0.3,15,2739,674,2065,1214,0.4878109488623936,0.5967521322804615,-0.31174847360248586,22.0
SNAP25,control,2,3,0.3,15,2811,532,2279,1291,0.4985173661255894,0.6529409238012054,-0.3023197082025784,22.0
Syx,500uM_H2O2_30min,1,1,0.3,15,705,95,610,241,0.24920781879863463,0.42985105732319,-0.6034383359782259,19.0
Syx,Ox_500uM_H2O2,1,1,0.3,15,493,275,218,76,0.19774977361750318,0.3049035676561267,-0.7038935837405935,19.0
Syx,control,1,1,0.3,15,893,514,379,153,0.21120796872789438,0.4146090587172884,-0.6752897002042045,20.0
Syx,500uM_H2O2_30min,1,2,0.3,15,2187,754,1433,486,0.28290245388480995,0.47760552955740243,-0.548373896617578,19.0
Syx,Ox_500uM_H2O2,1,2,0.3,15,2271,968,1303,563,0.28541217956073356,0.4821977441209746,-0.5445274979236995,21.0
Syx,control,1,2,0.3,15,3537,817,2720,1214,0.4133794866846486,0.6144680240819356,-0.38365211004093136,20.0
Syx,500uM_H2O2_30min,1,3,0.3,15,3276,516,2760,1130,0.27357220797809223,0.4711382698693686,-0.5629280298300717,20.0
Syx,Ox_500uM_H2O2,1,3,0.3,15,923,243,680,290,0.23160190000103664,0.3826506869491761,-0.635270015453123,21.0
Syx,control,1,3,0.3,15,2602,610,1992,891,0.29448459366987184,0.47727432168608547,-0.5309374209420035,21.0
Syx,500uM_H2O2_30min,2,1,0.3,15,564,215,349,186,0.09925370635520424,0.14491040798430138,-1.003256779646109,22.0
Syx,Ox_500uM_H2O2,2,1,0.3,15,880,128,752,434,0.13776373632324046,0.15743919380374408,-0.8608713637826448,24.0
Syx,control,2,1,0.3,15,2209,463,1746,880,0.1333069640636373,0.17407062561579228,-0.8751471628022591,21.0
Syx,500uM_H2O2_30min,2,2,0.3,15,905,602,303,139,0.1522699594289199,0.18976402570809522,-0.8173857679778327,21.0
Syx,Ox_500uM_H2O2,2,2,0.3,15,683,221,462,227,0.11899792500374554,0.15396981568964793,-0.9244606114417558,23.0
Syx,control,2,2,0.3,15,676,33,643,279,0.19079563672236857,0.23645407033313542,-0.7194315613356229,21.0
Syx,500uM_H2O2_30min,2,3,0.3,15,1318,422,896,419,0.18029062437566784,0.23696543139795165,-0.7440268572364562,22.0
Syx,Ox_500uM_H2O2,2,3,0.3,15,919,137,782,401,0.19027136815996715,0.24275267991420998,-0.7206265589839347,22.0
Syx,control,2,3,0.3,15,1639,295,1344,659,0.23731397049367192,0.29945081975885357,-0.6246766944429275,22.0
Syx,500uM_H2O2_30min,3,1,0.3,15,2578,471,2107,990,0.2313774248157892,0.3480159631352358,-0.6356790168722684,21.0
Syx,Ox_500uM_H2O2,3,1,0.3,15,2305,142,2163,1113,0.2431842546265829,0.33224731840526417,-0.6140645476154163,22.0
Syx,control,3,1,0.3,15,1274,483,791,369,0.2126701739369029,0.29816403125854757,-0.6722934137310228,22.0
Syx,500uM_H2O2_30min,3,2,0.3,15,956,516,440,233,0.20007635459802103,0.2612967027477281,-0.6988042340743676,20.0
Syx,Ox_500uM_H2O2,3,2,0.3,15,697,192,505,239,0.20584030232478953,0.25583430078035585,-0.6864695889338767,21.0
Syx,control,3,2,0.3,15,2261,478,1783,937,0.1897059281876097,0.2594154826141042,-0.7219190974774988,22.0
Syx,500uM_H2O2_30min,3,3,0.3,15,1735,415,1320,688,0.2176358768518184,0.2996834510694754,-0.6622696756208367,23.0
