protein,condition,sample,cell,edge_margin_um,min_track_length,n_tracks_raw,n_edge_removed,n_tracks_after_edge,n_tracks_used,median_D,mean_D,median_log10_D,median_track_length
Syx,control,3,3,0.5,15,1238,336,902,482,0.2457342054218139,0.3420592468887874,-0.6095344277555745,23.0
SNAP25,500uM_H2O2_30min,1,1,0.8,5,2601,502,2099,2002,0.4430423044851569,0.6874965870559,-0.35355482591172893,16.0
SNAP25,Ox_500uM_H2O2,1,1,0.8,5,2801,464,2337,2240,0.46797385356642074,0.741594160568224,-0.3297784739443267,16.0
SNAP25,control,1,1,0.8,5,2334,436,1898,1804,0.4651174794781857,0.6697931323430021,-0.33243749328238464,17.0
SNAP25,500uM_H2O2_30min,1,2,0.8,5,1295,776,519,471,0.5998386196655159,1.2432567390243823,-0.22196557630959338,14.0
SNAP25,Ox_500uM_H2O2,1,2,0.8,5,1023,288,735,700,0.5141127293229226,0.8446522280791829,-0.2889453024698972,17.5
SNAP25,control,1,2,0.8,5,1704,383,1321,1261,0.5132674292804139,0.7219226558120487,-0.2896562941506755,17.0
SNAP25,500uM_H2O2_30min,1,3,0.8,5,1354,178,1176,1104,0.3948147600399274,0.5925218923610771,-0.40360747268101405,16.0
SNAP25,Ox_500uM_H2O2,1,3,0.8,5,1487,257,1230,1173,0.4100893826746029,0.564694715662126,-0.38712147456894697,18.0
SNAP25,control,1,3,0.8,5,1821,343,1478,1399,0.43701137807496976,0.6533380776361084,-0.35950725554480556,17.0
SNAP25,500uM_H2O2_30min,2,1,0.8,5,2890,980,1910,1802,0.5522589781361621,0.957037666254513,-0.25785722691727964,15.0
SNAP25,Ox_500uM_H2O2,2,1,0.8,5,4794,1188,3606,3459,0.5680407730513343,0.8622202946988315,-0.2456204902120774,15.0
SNAP25,control,2,1,0.8,5,4368,1062,3306,3172,0.5202265529912062,0.7821497738351543,-0.28380774399773423,16.0
SNAP25,500uM_H2O2_30min,2,2,0.8,5,2378,935,1443,1360,0.659362698184699,1.333646553440654,-0.18087562632939463,14.0
SNAP25,Ox_500uM_H2O2,2,2,0.8,5,2720,1012,1708,1644,0.6773454250816519,1.2114266532005729,-0.16918979867393386,16.0
SNAP25,control,2,2,0.8,5,2181,773,1408,1350,0.5856577217570453,0.9985847790653996,-0.23235612779347717,16.0
SNAP25,500uM_H2O2_30min,2,3,0.8,5,2121,515,1606,1531,0.5803257818078381,1.034917754145843,-0.2363281348496437,15.0
SNAP25,Ox_500uM_H2O2,2,3,0.8,5,2739,723,2016,1942,0.5181420508064143,0.7942650850194852,-0.28555132945123274,17.0
SNAP25,control,2,3,0.8,5,2811,558,2253,2161,0.5420767043274057,0.8884388591298549,-0.2659392560646355,16.0
Syx,500uM_H2O2_30min,1,1,0.8,5,705,103,602,502,0.2977841168800325,0.5777659790512393,-0.5261085578133395,14.0
Syx,Ox_500uM_H2O2,1,1,0.8,5,493,276,217,185,0.2386746592250826,0.43050934178862027,-0.6221936888396149,13.0
Syx,control,1,1,0.8,5,893,516,377,327,0.2851368124976014,0.5751795853833646,-0.5449467096196853,14.0
Syx,500uM_H2O2_30min,1,2,0.8,5,2187,784,1403,1211,0.3561424131760119,0.7525794263637298,-0.44837630290129704,13.0
Syx,Ox_500uM_H2O2,1,2,0.8,5,2271,1007,1264,1097,0.3586367557676453,0.7763522272937832,-0.44534520275753986,14.0
Syx,control,1,2,0.8,5,3537,880,2657,2346,0.4784880759935791,0.8568345990679902,-0.3201289216318153,15.0
Syx,500uM_H2O2_30min,1,3,0.8,5,3276,573,2703,2308,0.32811749001608026,0.6416324977542659,-0.48397069803437476,14.0
Syx,Ox_500uM_H2O2,1,3,0.8,5,923,263,660,565,0.3014287014426509,0.7125409126854396,-0.5208153973939595,14.0
Syx,control,1,3,0.8,5,2602,658,1944,1705,0.3561190559587774,0.7672695925784732,-0.4484047865719736,15.0
Syx,500uM_H2O2_30min,2,1,0.8,5,564,234,330,295,0.10157660444047927,0.14662702726932703,-0.9932063091035094,16.0
Syx,Ox_500uM_H2O2,2,1,0.8,5,880,144,736,659,0.13573769156342377,0.18350272858372446,-0.8672995409541273,18.0
Syx,control,2,1,0.8,5,2209,519,1690,1541,0.1372460227168727,0.19731549389557398,-0.8625002322122457,16.0
Syx,500uM_H2O2_30min,2,2,0.8,5,905,604,301,266,0.16614408848466491,0.24562880688162556,-0.7795209792915789,15.0
Syx,Ox_500uM_H2O2,2,2,0.8,5,683,226,457,382,0.12499744887434767,0.20543284220762376,-0.9031049136247025,17.0
Syx,control,2,2,0.8,5,676,44,632,556,0.17689821723905025,0.26565166462256073,-0.7522797596032889,14.0
Syx,500uM_H2O2_30min,2,3,0.8,5,1318,443,875,780,0.21774721451711002,0.4120996242502569,-0.6620474566710869,15.0
Syx,Ox_500uM_H2O2,2,3,0.8,5,919,153,766,650,0.205715620371622,0.3105639331099793,-0.6867328007275428,17.0
Syx,control,2,3,0.8,5,1639,368,1271,1174,0.2552463846500488,0.3666688133987511,-0.5930404006143755,15.0
Syx,500uM_H2O2_30min,3,1,0.8,5,2578,498,2080,1803,0.2449070935608495,0.4376174751237355,-0.6109986356604289,15.0
Syx,Ox_500uM_H2O2,3,1,0.8,5,2305,170,2135,1913,0.2532200630582629,0.3917536203758911,-0.5965018873975707,16.0
Syx,control,3,1,0.8,5,1274,498,776,671,0.2126701739369029,0.3756461564043896,-0.6722934137310228,15.0
Syx,500uM_H2O2_30min,3,2,0.8,5,956,519,437,406,0.20698877941764704,0.3280502980454569,-0.6840538263558196,16.0
Syx,Ox_500uM_H2O2,3,2,0.8,5,697,192,505,443,0.1917503226650946,0.2938868835214958,-0.7172638965755802,15.0
Syx,control,3,2,0.8,5,2261,530,1731,1549,0.19482210959652577,0.31489772020966555,-0.7103617582844223,16.0
Syx,500uM_H2O2_30min,3,3,0.8,5,1735,417,1318,1158,0.22844325655071934,0.37598762169148503,-0.6412233890892574,16.0
Syx,Ox_500uM_H2O2,3,3,0.8,5,1018,578,440,391,0.2173095867718299,0.4029227836473817,-0.6629211140372016,16.0
Syx,control,3,3,0.8,5,1238,366,872,789,0.2507063586333188,0.4155058070533948,-0.6008346509466799,16.0
SNAP25,500uM_H2O2_30min,1,1,0.8,10,2601,502,2099,2002,0.4430423044851569,0.6874965870559,-0.35355482591172893,16.0
SNAP25,Ox_500uM_H2O2,1,1,0.8,10,2801,464,2337,2240,0.46797385356642074,0.741594160568224,-0.3297784739443267,16.0
SNAP25,control,1,1,0.8,10,2334,436,1898,1804,0.4651174794781857,0.6697931323430021,-0.33243749328238464,17.0
SNAP25,500uM_H2O2_30min,1,2,0.8,10,1295,776,519,471,0.5998386196655159,1.2432567390243823,-0.22196557630959338,14.0
SNAP25,Ox_500uM_H2O2,1,2,0.8,10,1023,288,735,700,0.5141127293229226,0.8446522280791829,-0.2889453024698972,17.5
SNAP25,control,1,2,0.8,10,1704,383,1321,1261,0.5132674292804139,0.7219226558120487,-0.2896562941506755,17.0
SNAP25,500uM_H2O2_30min,1,3,0.8,10,1354,178,1176,1104,0.3948147600399274,0.5925218923610771,-0.40360747268101405,16.0
SNAP25,Ox_500uM_H2O2,1,3,0.8,10,1487,257,1230,1173,0.4100893826746029,0.564694715662126,-0.38712147456894697,18.0
SNAP25,control,1,3,0.8,10,1821,343,1478,1399,0.43701137807496976,0.6533380776361084,-0.35950725554480556,17.0
SNAP25,500uM_H2O2_30min,2,1,0.8,10,2890,980,1910,1802,0.5522589781361621,0.957037666254513,-0.25785722691727964,15.0
SNAP25,Ox_500uM_H2O2,2,1,0.8,10,4794,1188,3606,3459,0.5680407730513343,0.8622202946988315,-0.2456204902120774,15.0
SNAP25,control,2,1,0.8,10,4368,1062,3306,3172,0.5202265529912062,0.7821497738351543,-0.28380774399773423,16.0
SNAP25,500uM_H2O2_30min,2,2,0.8,10,2378,935,1443,1360,0.659362698184699,1.333646553440654,-0.18087562632939463,14.0
SNAP25,Ox_500uM_H2O2,2,2,0.8,10,2720,1012,1708,1644,0.6773454250816519,1.2114266532005729,-0.16918979867393386,16.0
SNAP25,control,2,2,0.8,10,2181,773,1408,1350,0.5856577217570453,0.9985847790653996,-0.23235612779347717,16.0
SNAP25,500uM_H2O2_30min,2,3,0.8,10,2121,515,1606,1531,0.5803257818078381,1.034917754145843,-0.2363281348496437,15.0
SNAP25,Ox_500uM_H2O2,2,3,0.8,10,2739,723,2016,1942,0.5181420508064143,0.7942650850194852,-0.28555132945123274,17.0
SNAP25,control,2,3,0.8,10,2811,558,2253,2161,0.5420767043274057,0.8884388591298549,-0.2659392560646355,16.0
Syx,500uM_H2O2_30min,1,1,0.8,10,705,103,602,502,0.2977841168800325,0.5777659790512393,-0.5261085578133395,14.0
Syx,Ox_500uM_H2O2,1,1,0.8,10,493,276,217,185,0.2386746592250826,0.43050934178862027,-0.6221936888396149,13.0
Syx,control,1,1,0.8,10,893,516,377,327,0.2851368124976014,0.5751795853833646,-0.5449467096196853,14.0
Syx,500uM_H2O2_30min,1,2,0.8,10,2187,784,1403,1211,0.3561424131760119,0.7525794263637298,-0.44837630290129704,13.0
Syx,Ox_500uM_H2O2,1,2,0.8,10,2271,1007,1264,1097,0.3586367557676453,0.7763522272937832,-0.44534520275753986,14.0
Syx,control,1,2,0.8,10,3537,880,2657,2346,0.4784880759935791,0.8568345990679902,-0.3201289216318153,15.0
Syx,500uM_H2O2_30min,1,3,0.8,10,3276,573,2703,2308,0.32811749001608026,0.6416324977542659,-0.48397069803437476,14.0
Syx,Ox_500uM_H2O2,1,3,0.8,10,923,263,660,565,0.3014287014426509,0.7125409126854396,-0.5208153973939595,14.0
Syx,control,1,3,0.8,10,2602,658,1944,1705,0.3561190559587774,0.7672695925784732,-0.4484047865719736,15.0
Syx,500uM_H2O2_30min,2,1,0.8,10,564,234,330,295,0.10157660444047927,0.14662702726932703,-0.9932063091035094,16.0
Syx,Ox_500uM_H2O2,2,1,0.8,10,880,144,736,659,0.13573769156342377,0.18350272858372446,-0.8672995409541273,18.0
Syx,control,2,1,0.8,10,2209,519,1690,1541,0.1372460227168727,0.19731549389557398,-0.8625002322122457,16.0
Syx,500uM_H2O2_30min,2,2,0.8,10,905,604,301,266,0.16614408848466491,0.24562880688162556,-0.7795209792915789,15.0
Syx,Ox_500uM_H2O2,2,2,0.8,10,683,226,457,382,0.12499744887434767,0.20543284220762376,-0.9031049136247025,17.0
Syx,control,2,2,0.8,10,676,44,632,556,0.17689821723905025,0.26565166462256073,-0.7522797596032889,14.0
Syx,500uM_H2O2_30min,2,3,0.8,10,1318,443,875,780,0.21774721451711002,0.4120996242502569,-0.6620474566710869,15.0
Syx,Ox_500uM_H2O2,2,3,0.8,10,919,153,766,650,0.205715620371622,0.3105639331099793,-0.6867328007275428,17.0
Syx,control,2,3,0.8,10,1639,368,1271,1174,0.2552463846500488,0.3666688133987511,-0.5930404006143755,15.0
Syx,500uM_H2O2_30min,3,1,0.8,10,2578,498,2080,1803,0.2449070935608495,0.4376174751237355,-0.6109986356604289,15.0
Syx,Ox_500uM_H2O2,3,1,0.8,10,2305,170,2135,1913,0.2532200630582629,0.3917536203758911,-0.5965018873975707,16.0
Syx,control,3,1,0.8,10,1274,498,776,671,0.2126701739369029,0.3756461564043896,-0.6722934137310228,15.0
Syx,500uM_H2O2_30min,3,2,0.8,10,956,519,437,406,0.20698877941764704,0.3280502980454569,-0.6840538263558196,16.0
Syx,Ox_500uM_H2O2,3,2,0.8,10,697,192,505,443,0.1917503226650946,0.2938868835214958,-0.7172638965755802,15.0
Syx,control,3,2,0.8,10,2261,530,1731,1549,0.19482210959652577,0.31489772020966555,-0.7103617582844223,16.0
Syx,500uM_H2O2_30min,3,3,0.8,10,1735,417,1318,1158,0.22844325655071934,0.37598762169148503,-0.6412233890892574,16.0
Syx,Ox_500uM_H2O2,3,3,0.8,10,1018,578,440,391,0.2173095867718299,0.4029227836473817,-0.6629211140372016,16.0
Syx,control,3,3,0.8,10,1238,366,872,789,0.2507063586333188,0.4155058070533948,-0.6008346509466799,16.0
SNAP25,500uM_H2O2_30min,1,1,0.8,15,2601,502,2099,1123,0.412840960461673,0.5457762797848591,-0.3842172202471749,21.0
SNAP25,Ox_500uM_H2O2,1,1,0.8,15,2801,464,2337,1289,0.4533591306745384,0.5698483606707352,-0.34355763313436727,22.0
SNAP25,control,1,1,0.8,15,2334,436,1898,1091,0.4557430092905571,0.5380125883329582,-0.3412799843292023,22.0
SNAP25,500uM_H2O2_30min,1,2,0.8,15,1295,776,519,225,0.46147415906047634,0.6826794002705664,-0.335852612929833,22.0
SNAP25,Ox_500uM_H2O2,1,2,0.8,15,1023,288,735,435,0.4729507513236085,0.5988529862975334,-0.3251840802811205,23.0
SNAP25,control,1,2,0.8,15,1704,383,1321,780,0.4735279015177587,0.605740834397688,-0.3246544613935295,23.0
SNAP25,500uM_H2O2_30min,1,3,0.8,15,1354,178,1176,661,0.3739962476178555,0.4759181140047901,-0.4271327551445321,22.0
SNAP25,Ox_500uM_H2O2,1,3,0.8,15,1487,257,1230,757,0.4076665485307688,0.48795800348084506,-0.38969492353564844,23.0
SNAP25,control,1,3,0.8,15,1821,343,1478,853,0.41496543355921656,0.5226785136434328,-0.3819880783233798,22.0
SNAP25,500uM_H2O2_30min,2,1,0.8,15,2890,980,1910,946,0.47375323794675006,0.6080935382563556,-0.3244485614765811,22.0
SNAP25,Ox_500uM_H2O2,2,1,0.8,15,4794,1188,3606,1863,0.5261674557259123,0.6775440402746804,-0.27887601720763916,21.0
SNAP25,control,2,1,0.8,15,4368,1062,3306,1840,0.49069353725547027,0.6262801771708064,-0.3091896980224449,22.0
SNAP25,500uM_H2O2_30min,2,2,0.8,15,2378,935,1443,679,0.5150133202844615,0.782443844664271,-0.2881815382379783,22.0
SNAP25,Ox_500uM_H2O2,2,2,0.8,15,2720,1012,1708,921,0.5766317522233916,0.7706654564739839,-0.2391014468667633,22.0
SNAP25,control,2,2,0.8,15,2181,773,1408,779,0.5514902591510406,0.7023537929977446,-0.2584621540022352,23.0
SNAP25,500uM_H2O2_30min,2,3,0.8,15,2121,515,1606,812,0.4647040897963704,0.6718937014200026,-0.33282353624753525,22.0
SNAP25,Ox_500uM_H2O2,2,3,0.8,15,2739,723,2016,1184,0.48495966027320947,0.5973466951332324,-0.3142948863522944,22.0
SNAP25,control,2,3,0.8,15,2811,558,2253,1272,0.5019108783099357,0.6568585927550841,-0.2993734301967055,22.0
Syx,500uM_H2O2_30min,1,1,0.8,15,705,103,602,236,0.2608641842848585,0.43746219980791223,-0.5835857334915819,19.0
Syx,Ox_500uM_H2O2,1,1,0.8,15,493,276,217,75,0.19643640059394457,0.30555781093441003,-0.7067780322705783,19.0
Syx,control,1,1,0.8,15,893,516,377,152,0.21303770770274516,0.41709694161800764,-0.6715595385853157,20.0
Syx,500uM_H2O2_30min,1,2,0.8,15,2187,784,1403,472,0.2793170177996012,0.4766222040748063,-0.5539072142708025,19.0
Syx,Ox_500uM_H2O2,1,2,0.8,15,2271,1007,1264,541,0.28491554179450074,0.48706703138663543,-0.5452838598812925,21.0
Syx,control,1,2,0.8,15,3537,880,2657,1193,0.4142805248828097,0.6180494512051137,-0.3827054821850002,20.0
Syx,500uM_H2O2_30min,1,3,0.8,15,3276,573,2703,1108,0.27484536023749073,0.4717074206445826,-0.5609127230803372,20.0
Syx,Ox_500uM_H2O2,1,3,0.8,15,923,263,660,279,0.22987069120925052,0.38113710554831104,-0.6385163982719048,21.0
Syx,control,1,3,0.8,15,2602,658,1944,871,0.29448459366987184,0.4781606036568495,-0.5309374209420035,21.0
Syx,500uM_H2O2_30min,2,1,0.8,15,564,234,330,177,0.09634199068852313,0.14375619592758337,-1.0161843842193345,22.0
Syx,Ox_500uM_H2O2,2,1,0.8,15,880,144,736,429,0.1368360981269411,0.15506837074742222,-0.8637993181912903,24.0
Syx,control,2,1,0.8,15,2209,519,1690,857,0.1333145533385688,0.1737231604016386,-0.8751224380607492,21.0
Syx,500uM_H2O2_30min,2,2,0.8,15,905,604,301,139,0.1522699594289199,0.18976402570809522,-0.8173857679778327,21.0
Syx,Ox_500uM_H2O2,2,2,0.8,15,683,226,457,224,0.11919571914514371,0.1548447408315056,-0.9237399397295111,23.0
Syx,control,2,2,0.8,15,676,44,632,277,0.19300085408646364,0.2374423861768744,-0.7144407691050889,21.0
Syx,500uM_H2O2_30min,2,3,0.8,15,1318,443,875,410,0.17789877644456617,0.23480047770716558,-0.7498468797411559,22.0
Syx,Ox_500uM_H2O2,2,3,0.8,15,919,153,766,392,0.19080793396373558,0.2439254749182973,-0.719403657022418,22.0
Syx,control,2,3,0.8,15,1639,368,1271,626,0.2334768491381795,0.29481887684811364,-0.6317561820699913,22.0
Syx,500uM_H2O2_30min,3,1,0.8,15,2578,498,2080,974,0.23083423201773945,0.3477458167885111,-0.6366997899071837,21.0
Syx,Ox_500uM_H2O2,3,1,0.8,15,2305,170,2135,1098,0.24229492101185707,0.33266643776302085,-0.6156557953068698,22.0
Syx,control,3,1,0.8,15,1274,498,776,360,0.2117748912687884,0.2935054607035276,-0.6741260949347003,22.0
Syx,500uM_H2O2_30min,3,2,0.8,15,956,519,437,233,0.20007635459802103,0.2612967027477281,-0.6988042340743676,20.0
Syx,Ox_500uM_H2O2,3,2,0.8,15,697,192,505,239,0.20584030232478953,0.25583430078035585,-0.6864695889338767,21.0
Syx,control,3,2,0.8,15,2261,530,1731,914,0.19182365747826352,0.26070036245999967,-0.7170978660088407,22.0
Syx,500uM_H2O2_30min,3,3,0.8,15,1735,417,1318,687,0.2178256757398443,0.30005252885957956,-0.6618909300213963,23.0
Syx,Ox_500uM_H2O2,3,3,0.8,15,1018,578,440,214,0.20731215745439568,0.2824146252970807,-0.6833752296868985,24.5
Syx,control,3,3,0.8,15,1238,366,872,473,0.25055366340211316,0.3459909019388651,-0.6010992429566611,23.0
